Tipo.Registro,Protocolo.BATEU,Data,Hora,Via.Primária,Via.Secundária,Cruzamento,Número.(KM),Condição.Climática,Tipo.de.Acidente,Tipo.de.Veículo,Vítimas,Resultado,Tipo.Envolvido,Faixa.Etária,Categoria.Etilométrico,Subtipo.Etilométrico,Qtd..Veículos.Envolidos,Qtd..Pessoas.Envolvidas,Qtd..Vítimas,address,lat,long,UTM_x,UTM_y
BATEU Local,17888,16/03/2012,22:00,Rua Roberto Faria,Avenida Henry Ford,Rua Roberto Faria X Avenida Henry Ford,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Roberto Faria X Avenida Henry Ford,-25.47269,-49.26299,674621.601109329,7181571.65139698
BATEU Local,17844,14/03/2012,12:00,Rua Urbano Lopes,Rua Guilherme Born,Rua Urbano Lopes X Rua Guilherme Born,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Urbano Lopes X Rua Guilherme Born,-25.44118,-49.23518,677464.122345906,7185025.21255096
BATEU Local,17824,15/04/2012,14:00,Rua Pedro Airton Zimmermann,Rua Moyses Gutztein,Rua Pedro Airton Zimmermann X Rua Moyses Gutztein,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Pedro Airton Zimmermann X Rua Moyses Gutztein,-25.54096,-49.26759,674060.581782032,7174015.5274301
BATEU Local,17810,04/10/2012,17:00,Rua Paulo Setubal,Rua Irma Flavia Borlet,Rua Paulo Setubal X Rua Irma Flavia Borlet,1207,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,06 - Entre 51 e 59 anos,Sem Info.,Sem Info.,1,1,0,Rua Paulo Setubal 1207,-25.48862,-49.25634,675267.147154632,7179798.37448804
BATEU Local,17781,13/04/2012,12:00,Rua Natal,Avenida Prefeito Mauricio Fruet,Rua Natal X Avenida Prefeito Mauricio Fruet,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Natal X Avenida Prefeito Mauricio Fruet,-25.44385,-49.213,679690.958069607,7184699.74505358
BATEU Local,17778,17/03/2012,17:00,Rua Odenir Dissenha,Rua Ady R. C. Mendonca,Rua Odenir Dissenha X Rua Ady R. C. Mendonca,258,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Odenir Dissenha 258,-25.4831443,-49.1980235,681138.35259949,7180326.82929632
BATEU Local,17726,09/07/2012,14:00,Rua Simao Brante,Rua Dona Barbara Cid,Rua Simao Brante X Rua Dona Barbara Cid,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,03 - Entre 18 e 29 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Simao Brante X Rua Dona Barbara Cid,-25.49242,-49.22339,678574.224139592,7179333.64233898
BATEU Local,17716,22/09/2012,23:00,Rua Tenente Francisco Ferreira De Souza,Rua Evaristo Da Veiga,Rua Tenente Francisco Ferreira De Souza X Rua Evaristo Da Veiga,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Tenente Francisco Ferreira De Souza X Rua Evaristo Da Veiga,-25.48692,-49.24598,676311.188466408,7179972.99621893
BATEU Local,17697,25/06/2012,19:00,Rua Yedo De Faria Pinto,Rua Isaias Ferreira Da Silva,Rua Yedo De Faria Pinto X Rua Isaias Ferreira Da Silva,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Yedo De Faria Pinto X Rua Isaias Ferreira Da Silva,-25.47797,-49.19406,681544.6298955,7180894.58996056
BATEU Local,17650,28/06/2012,18:00,Rua Jose Hauer,Rua Anne Frank,Rua Jose Hauer X Rua Anne Frank,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,02 - Entre 12 e 17 anos,Sem Info.,Sem Info.,1,1,1,Rua Jose Hauer X Rua Anne Frank,-25.50631,-49.2339,677497.185555096,7177809.11908389
BATEU Local,17528,16/06/2012,12:00,Rua Joao Stenzowski,Rua Estanislau Krowinski,Rua Joao Stenzowski X Rua Estanislau Krowinski,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Joao Stenzowski X Rua Estanislau Krowinski,-25.48401,-49.28557,672335.056621211,7180347.18608346
BATEU Local,17497,09/07/2012,13:00,Rua Pedro Dorigo,Rua Eurico Fonseca Dos Santos,Rua Pedro Dorigo X Rua Eurico Fonseca Dos Santos,297,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,02 - Entre 12 e 17 anos,Sem Info.,Sem Info.,1,1,1,Rua Pedro Dorigo 297,-25.561743,-49.3413552,666619.073370068,7171808.08101966
BATEU Local,17490,15/03/2012,11:00,Rua Sebastiao Marcos Luiz,Rua Natal,Rua Sebastiao Marcos Luiz X Rua Natal,1049,Chuva Fraca,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Sebastiao Marcos Luiz 1049,-25.46226,-49.20626,680341.389145342,7182651.36902005
BATEU Local,17478,09/04/2012,12:00,Rua Felipe Camarao,Rua Chile,Rua Felipe Camarao X Rua Chile,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Felipe Camarao X Rua Chile,-25.44572,-49.2532,675645.146779436,7184546.19287485
BATEU Local,17374,26/12/2012,11:00,Viaduto Colorado,Rua Brasilio Itibere,Viaduto Colorado X Rua Brasilio Itibere,0,Bom,ABALROAMENTO LATERAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Não Embriagado,Não realizou teste etilométrico,1,1,1,Viaduto Colorado X Rua Brasilio Itibere,-25.44125,-49.25379,675592.294220202,7185042.1027587
BATEU Local,17321,02/03/2012,21:00,Rua Niteroi,Rua Natal,Rua Niteroi X Rua Natal,1924,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Niteroi 1924,-25.45985,-49.2040099,680571.258230272,7182915.27643028
BATEU Local,17320,02/03/2012,18:00,Rua Professor Manoel De Abreu,Rua Itatiaia,Rua Professor Manoel De Abreu X Rua Itatiaia,282,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Professor Manoel De Abreu 282,-25.47831,-49.30411,670479.1049274,7181002.43067932
BATEU Local,17293,23/03/2012,12:00,Rua Manoel Martins De Abreu,Rua Doutor Nelson Berno,Rua Manoel Martins De Abreu X Rua Doutor Nelson Berno,615,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,01 - Entre  0 e 11 anos,Sem Info.,Sem Info.,1,1,1,Rua Manoel Martins De Abreu 615,-25.4478662,-49.2482075,676144.130415487,7184301.87363725
BATEU Local,17254,21/09/2012,18:00,Rua Vereador Elias Karam,Rua Arthur Martins Franco,Rua Vereador Elias Karam X Rua Arthur Martins Franco,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,1,Rua Vereador Elias Karam X Rua Arthur Martins Franco,-25.4812,-49.33437,667432.66965372,7180720.72191388
BATEU Local,17242,26/06/2012,07:00,Rua Francisco Derosso,Rua Alcebiades Merlin,Rua Francisco Derosso X Rua Alcebiades Merlin,2499,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Francisco Derosso 2499,-25.51101,-49.26072,674794.376120183,7177324.0312043
BATEU Local,17235,13/03/2012,07:00,Rua Joquei Clube,Rua Francisco Nunes,Rua Joquei Clube X Rua Francisco Nunes,1241,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,PEDESTRE,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,1,Rua Joquei Clube 1241,-25.45239,-49.25549,675405.166847919,7183810.38674213
BATEU Local,17202,25/05/2012,14:00,Rua Tijucas Do Sul,Rua Jussara,Rua Tijucas Do Sul X Rua Jussara,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Sem Info.,Sem Info.,1,1,1,Rua Tijucas Do Sul X Rua Jussara,-25.54755,-49.26083,674730.354052492,7173276.68346559
BATEU Local,17142,05/03/2012,06:00,Rua Nicola Pellanda,Rua Arapongas,Rua Nicola Pellanda X Rua Arapongas,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Nicola Pellanda X Rua Arapongas,-25.54251,-49.29452,671352.127784548,7173878.85403013
BATEU Local,17139,24/02/2012,08:00,Rua Nicola Pellanda,Rua Ignez De Souza Soares,Rua Nicola Pellanda X Rua Ignez De Souza Soares,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,03 - Entre 18 e 29 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Nicola Pellanda X Rua Ignez De Souza Soares,-25.54967,-49.29301,671493.675612042,7173083.8071901
BATEU Local,16923,25/01/2012,07:00,Rua Nicola Pellanda,Rua Guilherme Scroccaro,Rua Nicola Pellanda X Rua Guilherme Scroccaro,2740,Bom,ABALROAMENTO LATERAL,BICICLETA,SEM VÍTIMAS,Não informado,NAOIDENTIFICADO,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Nicola Pellanda 2740,-25.55328,-49.29289,671500.593393356,7172683.77994808
BATEU Local,16919,25/01/2012,15:00,Rua Dos Pioneiros,Rua Da Lua,Rua Dos Pioneiros X Rua Da Lua,6,Nublado,ABALROAMENTO LATERAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Dos Pioneiros 6,-25.53264,-49.26123,674711.774978645,7174928.7746995
BATEU Local,16902,30/05/2012,09:00,Rua Izaac Ferreira Da Cruz,Rua Filosofo Huberto Rohden,Rua Izaac Ferreira Da Cruz X Rua Filosofo Huberto Rohden,2600,Bom,ABALROAMENTO LATERAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Izaac Ferreira Da Cruz 2600,-25.53771,-49.2771,673109.568517308,7174387.95297501
BATEU Local,16880,02/02/2012,23:00,Avenida Republica Argentina,Avenida Presidente Arthur Da Silva Bernardes,Avenida Republica Argentina X Avenida Presidente Arthur Da Silva Bernardes,0,Bom,COLISAO TRASEIRA,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Sem Info.,Sem Info.,1,1,1,Avenida Republica Argentina X Avenida Presidente Arthur Da Silva Bernardes,-25.47087,-49.29448,671457.894445831,7181814.16905605
BATEU Local,16852,01/10/2012,09:00,Rua Jose Hauer,Rua Carlos De Laet,Rua Jose Hauer X Rua Carlos De Laet,0,Bom,ACIDENTE COMPLEXO,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Jose Hauer X Rua Carlos De Laet,-25.50539,-49.23164,677725.721309606,7177908.00877151
BATEU Local,16832,30/05/2012,17:00,Rua Professor Nivaldo Braga,Rua Antonio Meirelles Sobrinho,Rua Professor Nivaldo Braga X Rua Antonio Meirelles Sobrinho,0,Bom,ACIDENTE COMPLEXO,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,06 - Entre 51 e 59 anos,Sem Info.,Sem Info.,1,1,1,Rua Professor Nivaldo Braga X Rua Antonio Meirelles Sobrinho,-25.44433,-49.22298,678686.51007951,7184659.99246424
BATEU Local,16806,10/04/2012,07:00,Rua Joana Roncaglio Bertoldi,Rua Alda Bassetti  Bertholdi,Rua Joana Roncaglio Bertoldi X Rua Alda Bassetti  Bertholdi,1360,Nublado,ABALROAMENTO LATERAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,01 - Entre  0 e 11 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Joana Roncaglio Bertoldi 1360,-25.594335,-49.3362924,667082.475806824,7168191.6059863
BATEU Local,16788,24/04/2012,18:00,Rua Vale Dos Passaros,Rua Irineu Antonio Borges,Rua Vale Dos Passaros X Rua Irineu Antonio Borges,115,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Vale Dos Passaros 115,-25.4906053,-49.3469388,666156.067218099,7179694.69207765
BATEU Local,16709,28/01/2012,16:00,Rua Doutor Bley Zornig,Rua Americo Firmino De Toledo,Rua Doutor Bley Zornig X Rua Americo Firmino De Toledo,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Não informado,RESPONSAVEL,05 - Entre 41 e 50 anos,Sem Info.,Sem Info.,1,1,0,Rua Doutor Bley Zornig X Rua Americo Firmino De Toledo,-25.50353,-49.2161199,679288.620936632,7178093.20962318
BATEU Local,16684,13/01/2012,18:00,Rua Jose Hauer,Rua Canal Belem,Rua Jose Hauer X Rua Canal Belem,591,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Jose Hauer 591,-25.50064,-49.22042,678860.634078963,7178419.12449744
BATEU Local,16586,06/01/2012,10:00,Rua Daisy Luci Berno,Rua 24 De Maio,Rua Daisy Luci Berno X Rua 24 De Maio,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Daisy Luci Berno X Rua 24 De Maio,-25.46819,-49.25906,675023.276396182,7182064.94795753
BATEU Local,16543,13/02/2012,13:00,Rua Conde Dos Arcos,Rua Antero De Quental,Rua Conde Dos Arcos X Rua Antero De Quental,435,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,1,Rua Conde Dos Arcos 435,-25.47885,-49.27424,673481.578305811,7180904.02884778
BATEU Local,16491,16/01/2012,18:00,Rua Velcy Bolivar Grando,-,Rua Velcy Bolivar Grando X ,0,Bom,COLISAO FRONTAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Velcy Bolivar Grando X ,-25.49446,-49.20822,680096.29316263,7179087.22401527
BATEU Local,16382,18/05/2012,07:00,Rua Arthur Martins Franco,Rua Alexandre Naldoni,Rua Arthur Martins Franco X Rua Alexandre Naldoni,622,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,05 - Entre 41 e 50 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Arthur Martins Franco 622,-25.506642,-49.3345546,667378.842362819,7177902.85464238
BATEU Local,16192,25/05/2012,12:00,Rua Plinio Algacyr Montanari,Rua Capitao Leonidas Marques,Rua Plinio Algacyr Montanari X Rua Capitao Leonidas Marques,1447,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,02 - Entre 12 e 17 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Plinio Algacyr Montanari 1447,-25.47748,-49.21737,679201.603587005,7180980.45051656
BATEU Local,11637,29/02/2012,08:00,Rua Fernando De Souza Costa,Avenida Alcir Martins Bastos,Rua Fernando De Souza Costa X Avenida Alcir Martins Bastos,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Não informado,RESPONSAVEL,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Fernando De Souza Costa X Avenida Alcir Martins Bastos,-25.48581,-49.32507,668361.269539972,7180198.36136378
BATEU Local,11636,27/02/2012,05:00,Rua Joao Bettega,Rua Desembargador Cid Campelo,Rua Joao Bettega X Rua Desembargador Cid Campelo,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Joao Bettega X Rua Desembargador Cid Campelo,-25.51177,-49.33261,667567.190727991,7177332.39819492
BATEU Local,11456,02/02/2012,19:00,Rua Luiz Tramontin,Rua Irma Sofia Riechi,Rua Luiz Tramontin X Rua Irma Sofia Riechi,0,Nublado,ABALROAMENTO LATERAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Luiz Tramontin X Rua Irma Sofia Riechi,-25.46015,-49.34098,666797.142277612,7183060.62449579
BATEU Local,11235,10/04/2012,18:00,Rua Expedicionario Francisco A  De Oliveira,-,Rua Expedicionario Francisco A  De Oliveira X ,887,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Não informado,NAOIDENTIFICADO,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Expedicionario Francisco A  De Oliveira 887,-25.5395724,-49.2470342,676128.319921267,7174142.13318365
BATEU Local,10830,08/01/2012,14:00,Rua Coronel Victor Agner Kendrick,Rua Carlos Augusto Aldenucci,Rua Coronel Victor Agner Kendrick X Rua Carlos Augusto Aldenucci,911,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,08 - Não informada,Sem Info.,Sem Info.,1,1,0,Rua Coronel Victor Agner Kendrick 911,-25.53212,-49.25733,675104.479093291,7174981.24035984
BATEU Local,10790,20/01/2012,18:00,Rua Emanoel Voluz,-,Rua Emanoel Voluz X ,450,Bom,COLISAO FRONTAL,BICICLETA,COM VÍTIMAS,-,-,-,Sem Info.,Sem Info.,1,0,0,Rua Emanoel Voluz 450,-25.5250595,-49.2922704,671603.031757847,7175808.90182948
BATEU Local,10546,02/04/2012,07:00,Rua Waldemar Kost,Avenida Marechal Floriano Peixoto,Rua Waldemar Kost X Avenida Marechal Floriano Peixoto,745,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,06 - Entre 51 e 59 anos,Sem Info.,Sem Info.,1,1,0,Rua Waldemar Kost 745,-25.48264,-49.24613,676302.35392523,7180447.2851814
BATEU Local,10435,09/04/2012,08:00,Rua Senador Batista De Oliveira,Avenida Coronel Francisco H. Dos Santos,Rua Senador Batista De Oliveira X Avenida Coronel Francisco H. Dos Santos,797,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Senador Batista De Oliveira 797,-25.4569649,-49.2257001,678394.306560431,7183264.08028781
BATEU Local,10322,04/10/2012,20:00,Rua Maria Mazuroski,Rua Jose Batista Dos Santos,Rua Maria Mazuroski X Rua Jose Batista Dos Santos,2175,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Maria Mazuroski 2175,-25.4828,-49.34373,666489.411126592,7180555.23737791
BATEU Local,10275,15/09/2012,20:00,Rua Osires Paixao Goncalves,Rua Joao Reffo,Rua Osires Paixao Goncalves X Rua Joao Reffo,1595,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Osires Paixao Goncalves 1595,-25.37827,-49.33152,667861.813367693,7192118.16154966
BATEU Local,10274,04/07/2012,07:00,Rua Laertes Luiz Foggiato,Rua Doutor Lauro Gentio Portugal Tavares,Rua Laertes Luiz Foggiato X Rua Doutor Lauro Gentio Portugal Tavares,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,SEM VÍTIMAS,-,-,-,Sem Info.,Sem Info.,1,0,0,Rua Laertes Luiz Foggiato X Rua Doutor Lauro Gentio Portugal Tavares,-25.53434,-49.2558,675255.016713311,7174733.31575873
BATEU Local,10172,22/06/2012,11:00,Rua Jose Botega,Rua Gerd Claassen,Rua Jose Botega X Rua Gerd Claassen,0,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Jose Botega X Rua Gerd Claassen,-25.39206,-49.34171,666817.481347246,7190603.48964954
BATEU Local,10078,13/06/2012,10:00,Rua Sao Luiz,Rua Dos Funcionarios,Rua Sao Luiz X Rua Dos Funcionarios,573,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Sao Luiz 573,-25.4033112,-49.2523828,675788.868044857,7189242.64054435
BATEU Local,10035,09/08/2012,13:00,Rua Antonio Escorsin,Rua Angelo Dallarmi,Rua Antonio Escorsin X Rua Angelo Dallarmi,477,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,02 - Entre 12 e 17 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Antonio Escorsin 477,-25.41407,-49.33509,667453.147999687,7188157.28060739
BATEU Local,9997,09/07/2012,17:00,Rua Professor Ulisses Vieira,Rua Pretextato Taborda Junior,Rua Professor Ulisses Vieira X Rua Pretextato Taborda Junior,749,Nublado,COLISAO TRASEIRA,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,06 - Entre 51 e 59 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Professor Ulisses Vieira 749,-25.46076,-49.29769,671149.439341237,7182938.14837373
BATEU Local,9970,09/09/2012,12:00,Rua General Mario Tourinho,Rua Doutor Romualdo A Barauna,Rua General Mario Tourinho X Rua Doutor Romualdo A Barauna,325,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,1,Rua General Mario Tourinho 325,-25.4486059,-49.3047022,670461.430774926,7184293.40197918
BATEU Local,9950,14/08/2012,17:00,Rua Odair Pazello,Rua Francisco Biscardi,Rua Odair Pazello X Rua Francisco Biscardi,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,03 - Entre 18 e 29 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Odair Pazello X Rua Francisco Biscardi,-25.50337,-49.30375,670479.923265576,7178226.15597388
BATEU Local,9945,19/07/2012,11:00,Rua Joao Batista Zagonel Passos,Rua David Tows,Rua Joao Batista Zagonel Passos X Rua David Tows,996,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Joao Batista Zagonel Passos 996,-25.52242,-49.26482,674365.760593571,7176065.54611151
BATEU Local,9846,26/07/2012,16:00,Rua Waldemar Kost,Rua Carlos Essenfelder,Rua Waldemar Kost X Rua Carlos Essenfelder,0,Bom,ACIDENTE COMPLEXO,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Waldemar Kost X Rua Carlos Essenfelder,-25.48005,-49.23975,676947.604539122,7180725.71074301
BATEU Local,9711,24/07/2012,13:00,Rua Simao Brante,Rua Dona Barbara Cid,Rua Simao Brante X Rua Dona Barbara Cid,0,Bom,ACIDENTE COMPLEXO,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Sem Info.,Sem Info.,1,1,1,Rua Simao Brante X Rua Dona Barbara Cid,-25.49242,-49.22339,678574.224139592,7179333.64233898
BATEU Local,9567,23/07/2012,07:00,Rua Professor Pedro Viriato Parigot De Souza,Rua Eduardo Sprada,Rua Professor Pedro Viriato Parigot De Souza X Rua Eduardo Sprada,5410,Bom,COLISAO FRONTAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,1,Rua Professor Pedro Viriato Parigot De Souza 5410,-25.4499596,-49.35577,665323.827695698,7184207.79251933
BATEU Local,9542,03/08/2012,14:00,Rua Catulo Da Paixao Cearense,Rua Arabia,Rua Catulo Da Paixao Cearense X Rua Arabia,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,07 - 60 ou mais,Sem Info.,Sem Info.,1,1,1,Rua Catulo Da Paixao Cearense X Rua Arabia,-25.46416,-49.20291,680675.426885914,7182436.36598468
BATEU Local,9451,23/08/2012,11:00,Rua Marechal Cardoso Junior,Rua Ana Berta Roskamp,Rua Marechal Cardoso Junior X Rua Ana Berta Roskamp,1761,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Marechal Cardoso Junior 1761,-25.46664,-49.23036,677911.454371969,7182198.61033817
BATEU Local,9305,11/08/2012,10:00,Rua Dos Pioneiros,Rua David Tows,Rua Dos Pioneiros X Rua David Tows,2111,Bom,COLISAO TRASEIRA,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,04 - Entre 30 e 40 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Dos Pioneiros 2111,-25.5317861,-49.2584525,674992.152360777,7175019.70499728
